"sim_id","variable","value","TB_compartment","DR_compartment","HIV_compartment","G_compartment"
30,"N_1_2_1_2",0,"1","2","1","2"
30,"N_1_2_2_1",0,"1","2","2","1"
30,"N_1_2_2_2",0,"1","2","2","2"
30,"N_1_2_3_1",0,"1","2","3","1"
30,"N_1_2_3_2",0,"1","2","3","2"
30,"N_1_2_4_1",0,"1","2","4","1"
30,"N_1_2_4_2",0,"1","2","4","2"
30,"N_2_1_1_1",0,"2","1","1","1"
30,"N_2_1_1_2",0,"2","1","1","2"
30,"N_2_1_2_1",0.654488932115826,"2","1","2","1"
30,"N_2_1_2_2",1.25733590242477,"2","1","2","2"
30,"N_2_1_3_1",0.316528425041486,"2","1","3","1"
30,"N_2_1_3_2",0.450742499369982,"2","1","3","2"
30,"N_2_1_4_1",0,"2","1","4","1"
30,"N_2_1_4_2",0,"2","1","4","2"
30,"N_2_2_1_1",0,"2","2","1","1"
30,"N_2_2_1_2",0,"2","2","1","2"
30,"N_2_2_2_1",0,"2","2","2","1"
30,"N_2_2_2_2",0,"2","2","2","2"
30,"N_2_2_3_1",0,"2","2","3","1"
30,"N_2_2_3_2",0,"2","2","3","2"
30,"N_2_2_4_1",0,"2","2","4","1"
30,"N_2_2_4_2",0,"2","2","4","2"
30,"N_3_1_1_1",1896.22888999663,"3","1","1","1"
30,"N_3_1_1_2",1921.98902907917,"3","1","1","2"
30,"N_3_1_2_1",57.1176339365876,"3","1","2","1"
30,"N_3_1_2_2",107.595550420456,"3","1","2","2"
30,"N_3_1_3_1",17.8514203399473,"3","1","3","1"
30,"N_3_1_3_2",25.3664022004928,"3","1","3","2"
30,"N_3_1_4_1",0,"3","1","4","1"
30,"N_3_1_4_2",0,"3","1","4","2"
30,"N_3_2_1_1",72.8561463446264,"3","2","1","1"
30,"N_3_2_1_2",73.8458920830004,"3","2","1","2"
30,"N_3_2_2_1",2.20055187919362,"3","2","2","1"
30,"N_3_2_2_2",4.14558082022747,"3","2","2","2"
30,"N_3_2_3_1",0.687924993467078,"3","2","3","1"
30,"N_3_2_3_2",0.977537460045626,"3","2","3","2"
30,"N_3_2_4_1",0,"3","2","4","1"
30,"N_3_2_4_2",0,"3","2","4","2"
30,"N_4_1_1_1",32393.8403168103,"4","1","1","1"
30,"N_4_1_1_2",32901.1982756108,"4","1","1","2"
30,"N_4_1_2_1",1162.13724212497,"4","1","2","1"
30,"N_4_1_2_2",2187.69236204193,"4","1","2","2"
30,"N_4_1_3_1",415.596509290158,"4","1","3","1"
30,"N_4_1_3_2",588.437008561771,"4","1","3","2"
30,"N_4_1_4_1",0,"4","1","4","1"
30,"N_4_1_4_2",0,"4","1","4","2"
30,"N_4_2_1_1",1244.54116251825,"4","2","1","1"
30,"N_4_2_1_2",1264.11873807959,"4","2","1","2"
30,"N_4_2_2_1",44.9867325752794,"4","2","2","1"
30,"N_4_2_2_2",84.7311408658979,"4","2","2","2"
30,"N_4_2_3_1",16.1989619129299,"4","2","3","1"
30,"N_4_2_3_2",22.9440995103899,"4","2","3","2"
30,"N_4_2_4_1",0,"4","2","4","1"
30,"N_4_2_4_2",0,"4","2","4","2"
30,"N_5_1_1_1",0,"5","1","1","1"
30,"N_5_1_1_2",0,"5","1","1","2"
30,"N_5_1_2_1",1.77311308005221,"5","1","2","1"
30,"N_5_1_2_2",3.38340257709141,"5","1","2","2"
30,"N_5_1_3_1",0.727855131795515,"5","1","3","1"
30,"N_5_1_3_2",1.03236232361864,"5","1","3","2"
30,"N_5_1_4_1",0,"5","1","4","1"
30,"N_5_1_4_2",0,"5","1","4","2"
30,"N_5_2_1_1",0,"5","2","1","1"
30,"N_5_2_1_2",0,"5","2","1","2"
30,"N_5_2_2_1",0,"5","2","2","1"
30,"N_5_2_2_2",0,"5","2","2","2"
30,"N_5_2_3_1",0,"5","2","3","1"
30,"N_5_2_3_2",0,"5","2","3","2"
30,"N_5_2_4_1",0,"5","2","4","1"
30,"N_5_2_4_2",0,"5","2","4","2"
30,"N_6_1_1_1",203.617403509424,"6","1","1","1"
30,"N_6_1_1_2",206.388866313252,"6","1","1","2"
30,"N_6_1_2_1",25.5443636863125,"6","1","2","1"
30,"N_6_1_2_2",48.9032310462629,"6","1","2","2"
30,"N_6_1_3_1",17.2431966981188,"6","1","3","1"
30,"N_6_1_3_2",24.5146651839114,"6","1","3","2"
30,"N_6_1_4_1",0,"6","1","4","1"
30,"N_6_1_4_2",0,"6","1","4","2"
30,"N_6_2_1_1",7.82316972269143,"6","2","1","1"
30,"N_6_2_1_2",7.9297938208419,"6","2","1","2"
30,"N_6_2_2_1",0.976604628036647,"6","2","2","1"
30,"N_6_2_2_2",1.86913566012777,"6","2","2","2"
30,"N_6_2_3_1",0.655808262757668,"6","2","3","1"
30,"N_6_2_3_2",0.932219912736293,"6","2","3","2"
30,"N_6_2_4_1",0,"6","2","4","1"
30,"N_6_2_4_2",0,"6","2","4","2"
30,"N_7_1_1_1",822.56870091492,"7","1","1","1"
30,"N_7_1_1_2",835.899376940619,"7","1","1","2"
30,"N_7_1_2_1",62.8353114846737,"7","1","2","1"
30,"N_7_1_2_2",122.880359300908,"7","1","2","2"
30,"N_7_1_3_1",46.2513290570874,"7","1","3","1"
30,"N_7_1_3_2",66.2653592155591,"7","1","3","2"
30,"N_7_1_4_1",0,"7","1","4","1"
30,"N_7_1_4_2",0,"7","1","4","2"
30,"N_7_2_1_1",31.603635269275,"7","2","1","1"
30,"N_7_2_1_2",32.1166138886706,"7","2","1","2"
30,"N_7_2_2_1",2.40693126748803,"7","2","2","1"
30,"N_7_2_2_2",4.70598503919873,"7","2","2","2"
30,"N_7_2_3_1",1.76473552092148,"7","2","3","1"
30,"N_7_2_3_2",2.52816937476761,"7","2","3","2"
30,"N_7_2_4_1",0,"7","2","4","1"
30,"N_7_2_4_2",0,"7","2","4","2"
30,"N_8_1_1_1",0,"8","1","1","1"
30,"N_8_1_1_2",0,"8","1","1","2"
30,"N_8_1_2_1",6.89562118861108,"8","1","2","1"
30,"N_8_1_2_2",13.9098949408674,"8","1","2","2"
30,"N_8_1_3_1",4.84369567437088,"8","1","3","1"
30,"N_8_1_3_2",7.01773006592127,"8","1","3","2"
30,"N_8_1_4_1",0,"8","1","4","1"
30,"N_8_1_4_2",0,"8","1","4","2"
30,"N_8_2_1_1",0,"8","2","1","1"
30,"N_8_2_1_2",0,"8","2","1","2"
30,"N_8_2_2_1",0,"8","2","2","1"
30,"N_8_2_2_2",0,"8","2","2","2"
30,"N_8_2_3_1",0,"8","2","3","1"
30,"N_8_2_3_2",0,"8","2","3","2"
30,"N_8_2_4_1",0,"8","2","4","1"
30,"N_8_2_4_2",0,"8","2","4","2"
31,"N_1_1_1_1",9567.71506872185,"1","1","1","1"
31,"N_1_1_1_2",9638.13818267743,"1","1","1","2"
31,"N_1_1_2_1",427.91139470623,"1","1","2","1"
31,"N_1_1_2_2",810.287486476973,"1","1","2","2"
31,"N_1_1_3_1",176.801783274949,"1","1","3","1"
31,"N_1_1_3_2",251.373238226337,"1","1","3","2"
31,"N_1_1_4_1",0,"1","1","4","1"
31,"N_1_1_4_2",0,"1","1","4","2"
31,"N_1_2_1_1",0,"1","2","1","1"
31,"N_1_2_1_2",0,"1","2","1","2"
31,"N_1_2_2_1",0,"1","2","2","1"
31,"N_1_2_2_2",0,"1","2","2","2"
31,"N_1_2_3_1",0,"1","2","3","1"
31,"N_1_2_3_2",0,"1","2","3","2"
31,"N_1_2_4_1",0,"1","2","4","1"
31,"N_1_2_4_2",0,"1","2","4","2"
31,"N_2_1_1_1",0,"2","1","1","1"
31,"N_2_1_1_2",0,"2","1","1","2"
31,"N_2_1_2_1",0.654488932115826,"2","1","2","1"
31,"N_2_1_2_2",1.25733590242477,"2","1","2","2"
31,"N_2_1_3_1",0.316528425041486,"2","1","3","1"
31,"N_2_1_3_2",0.450742499369982,"2","1","3","2"
31,"N_2_1_4_1",0,"2","1","4","1"
31,"N_2_1_4_2",0,"2","1","4","2"
31,"N_2_2_1_1",0,"2","2","1","1"
31,"N_2_2_1_2",0,"2","2","1","2"
31,"N_2_2_2_1",0,"2","2","2","1"
31,"N_2_2_2_2",0,"2","2","2","2"
31,"N_2_2_3_1",0,"2","2","3","1"
31,"N_2_2_3_2",0,"2","2","3","2"
31,"N_2_2_4_1",0,"2","2","4","1"
31,"N_2_2_4_2",0,"2","2","4","2"
31,"N_3_1_1_1",1896.22888999663,"3","1","1","1"
31,"N_3_1_1_2",1921.98902907917,"3","1","1","2"
31,"N_3_1_2_1",57.1176339365876,"3","1","2","1"
31,"N_3_1_2_2",107.595550420456,"3","1","2","2"
31,"N_3_1_3_1",17.8514203399473,"3","1","3","1"
31,"N_3_1_3_2",25.3664022004928,"3","1","3","2"
31,"N_3_1_4_1",0,"3","1","4","1"
31,"N_3_1_4_2",0,"3","1","4","2"
31,"N_3_2_1_1",72.8561463446264,"3","2","1","1"
31,"N_3_2_1_2",73.8458920830004,"3","2","1","2"
31,"N_3_2_2_1",2.20055187919362,"3","2","2","1"
31,"N_3_2_2_2",4.14558082022747,"3","2","2","2"
31,"N_3_2_3_1",0.687924993467078,"3","2","3","1"
31,"N_3_2_3_2",0.977537460045626,"3","2","3","2"
31,"N_3_2_4_1",0,"3","2","4","1"
31,"N_3_2_4_2",0,"3","2","4","2"
31,"N_4_1_1_1",32393.8403168103,"4","1","1","1"
31,"N_4_1_1_2",32901.1982756108,"4","1","1","2"
31,"N_4_1_2_1",1162.13724212497,"4","1","2","1"
31,"N_4_1_2_2",2187.69236204193,"4","1","2","2"
31,"N_4_1_3_1",415.596509290158,"4","1","3","1"
31,"N_4_1_3_2",588.437008561771,"4","1","3","2"
31,"N_4_1_4_1",0,"4","1","4","1"
31,"N_4_1_4_2",0,"4","1","4","2"
31,"N_4_2_1_1",1244.54116251825,"4","2","1","1"
31,"N_4_2_1_2",1264.11873807959,"4","2","1","2"
31,"N_4_2_2_1",44.9867325752794,"4","2","2","1"
31,"N_4_2_2_2",84.7311408658979,"4","2","2","2"
31,"N_4_2_3_1",16.1989619129299,"4","2","3","1"
31,"N_4_2_3_2",22.9440995103899,"4","2","3","2"
31,"N_4_2_4_1",0,"4","2","4","1"
31,"N_4_2_4_2",0,"4","2","4","2"
31,"N_5_1_1_1",0,"5","1","1","1"
31,"N_5_1_1_2",0,"5","1","1","2"
31,"N_5_1_2_1",1.77311308005221,"5","1","2","1"
31,"N_5_1_2_2",3.38340257709141,"5","1","2","2"
31,"N_5_1_3_1",0.727855131795515,"5","1","3","1"
31,"N_5_1_3_2",1.03236232361864,"5","1","3","2"
31,"N_5_1_4_1",0,"5","1","4","1"
31,"N_5_1_4_2",0,"5","1","4","2"
31,"N_5_2_1_1",0,"5","2","1","1"
31,"N_5_2_1_2",0,"5","2","1","2"
31,"N_5_2_2_1",0,"5","2","2","1"
31,"N_5_2_2_2",0,"5","2","2","2"
31,"N_5_2_3_1",0,"5","2","3","1"
31,"N_5_2_3_2",0,"5","2","3","2"
31,"N_5_2_4_1",0,"5","2","4","1"
31,"N_5_2_4_2",0,"5","2","4","2"
31,"N_6_1_1_1",203.617403509424,"6","1","1","1"
31,"N_6_1_1_2",206.388866313252,"6","1","1","2"
31,"N_6_1_2_1",25.5443636863125,"6","1","2","1"
31,"N_6_1_2_2",48.9032310462629,"6","1","2","2"
31,"N_6_1_3_1",17.2431966981188,"6","1","3","1"
31,"N_6_1_3_2",24.5146651839114,"6","1","3","2"
31,"N_6_1_4_1",0,"6","1","4","1"
31,"N_6_1_4_2",0,"6","1","4","2"
31,"N_6_2_1_1",7.82316972269143,"6","2","1","1"
31,"N_6_2_1_2",7.9297938208419,"6","2","1","2"
31,"N_6_2_2_1",0.976604628036647,"6","2","2","1"
31,"N_6_2_2_2",1.86913566012777,"6","2","2","2"
